Artist,Song Title,verse,chorus,intro,outro,bridge 
Herman Brood,Dance On,,[chorus] When everything around you turns to shit And all your friends have split All your lovers have gone From this - to a life of bliss  I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on [chorus] When everything around you turns to shit And all your friends have split All your lovers have gone from this To a life of bliss  I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on   I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on (I dance on) [bridge] Got to dance on Gonna dance on - (dance - dance yeah) Never mind that she's gone Got to dance on (I dance on) [outro] I dance on (I dance on) Gonna dance on (I dance on) (I dance on) I dance on (I dance on) I dance on  Got to dance on (I dance on) Gonna dance on (I dance on) on Gonna dance on (I dance on) gonna dance on I dance on,,,
Herman Brood,My Way,[verse] And now the end is near And so I face the final curtain My friends I say it clear I'll state my case of which I'm certain I've loved a life that's full I've travelled each and every highway And more much more than this I did it my way  Regrets I had a few But then again too few to mention I did what I had to do And saw it through without excemption I planned each chattered course Each careful stap along the highway And more much more than that I did it my way  Yes there were times I'm sure you knew When I bit more off then I could chew But through it all when there was doubt I ate it up and spitt it out I faced it all and I stood tall And did it my way  I've loved I've laughed and cried I've had my fill my share of losing And now as tears subside I find it all so amusing To think I did all that And may I say not in a shy way Oh no oh no not me I did it my way  For what is a man What has he got If not himelf than he has not To say the words he truly feels And not the words of one who kneels The record shows I took the blows And did it my way,,,,
Herman Brood,So Long,[verse] Now I was lookin' for love In all the wrong places Lookin' for love Starin' into black faces  Now I was tryin' so hard to find love In every corner of the city Lookin' for love All over town,[chorus] Took me so long - (so long) So long (so long) Before I met you Took me so long - (so long) So long (so long) To get you  It took me so long - (so long) Too long (so long) To get close to you Took me so long - (so long) So long (so long) Now I'm tryin' to forget you [bridge] Took me so long - (so long) (so long)  So long - (so long) So long - (so long) [chorus] Took me so long - (so long) (so long) Starin' into the black faces  So long - (so long) So long - (so long)  Lookin' (so long) for love (so long) In all the wrong places (so long) (so long) [outro] Lookin' (so long) for love (so long) In every corner of the city,,,
Herman Brood,When I Get Home,[verse] When I get home I'm gonna sit on my bed When I get home The feed back in my head When I get home I won't answer the phone [bridge] But right now right now right now I'm here on the road,[chorus] When I get home I'm gonna touch your hair When I get home I'm gonna touch you there When I get home I'll be on top of you [bridge] But right now right now right now I'm here on my own [verse] When I get home I knew it ain't no sceen When I get home You knew I take of my skin When I get home I dance around in my doors [bridge] But right now right now right now I'm cruisin' alone  [chorus] When I get home I'm gonna see my girls When I get home I'm gonna buy them a toy When I get home There gonna jump with joy [bridge] But right now right now right now I'm flying alone,,,
Hide (musician),Breeding,"[verse] If I say red the bugs insist on yellow If I say right the bugs point east It's unbearable we're indivisible I begin to spew lies  Unable to cross over with just a smile I become a demon child Holding up the thorns even beloved memories become all bloody  No matter how I try to tame the two insects It's water and oil parallel lines that run on forever Appearing unpredictably They whisper in turn  ""That kid is great... break him down"" ""It'll only hurt you - just give up"" Those voices in turn Call out in my head  Those two bugs are growing up inside my body Am I the one who's really being raised?",[chorus] Breed you treat me. I'll go on walking with the insects Breed you treat me. Destroying demons on the way Breed you treat me. We'll go on walking down this road Breed you treat me. If the insects disappear I'll disappear too  Hey master!! We've been inside you! Hey master!! Don't fuck with us! Hey busters!! You've been inside me! Hey busters!! Don't fuck with me! [verse] No matter how I try to tame the two insects It's water and oil parallel lines that run on forever Appearing unpredictably They whisper in turn  In my skull flying around Well matched with me are two insects When they whisper I cannot defy them Am I being raised? [chorus] Breed you treat me. I'll go on walking with the insects Breed you treat me. Destroying demons on the way Breed you treat me. We'll go on walking down this road Breed you treat me. If the insects disappear I'll disappear too  Hey master!! We've been inside you! Hey master!! Don't fuck with us! Hey busters!! You've been inside me! Hey busters!! Don't fuck with me!,[intro] In my skull flying around With well matched faces are two insects I don't mix with them I don't understand them But I am consistent with them,,
Hide (musician),Everfree,"[verse] I've forgotten the season that I dreamt of in my dreams So I try asking that girl When I do you said with a smile ""Can dreams be eaten?""  When I look upon these days that are coming to an end I remember the faded sunny days  The disappearing melodies from the beginning Where did I lose them?",[chorus] Your dreams were called nonsensical And the continuations to them are trembling in your heart Ever free your story seems to be collapsing If you could imagine it could your dream be seen? [bridge] Ever free where are you free? Ever free  These scattered days Are just like a broken sun  The disappearing memories from the beginning Where do they want to go to? [chorus] Your freedom was called nonsensical You're sleeping with your wings closed Ever free piercing through this night If you wake up will you be able to fly freely?  Ever free where are you free? Ever free [outro] FU FU ever free... FU FU ever free... FU FU ever free... FU FU ever free... in your sight,"[intro] I've forgotten the feeling that I loved to love So I try asking someone And they said with a sigh ""How much does love cost?""",,
Hide (musician),Hurry go round,[verse] With off season blooms One season flows endlessly into the next The joke plays out again Just like it did on that day  When ivy leaves unnoticed Spread their roots The scene greeting me Slipped away without a sound  I aim for the distance beyond And kick old memories away Not because they're sad But they aren't happy either  To gain wisdom A fleeting moment is never enough It was but an instant of clarity That flashed by me yesterday,[chorus] Just like on a Merry-go-round I forget my pains and continue around Unable to find my destination Still I go on [verse] Supposing a ripe fruit Were to wither and fall unseen Its sweetly intoxicating fragrance Would still have adorned one season   Ivy will spread I will perish away And a fragment of memory will return to the ground Perhaps to become a flower again Like a merry-go-round & round Let's meet in the spring again  It spins and spins And even the tears and the rain Twinkling from fragments of distant memories Will be swallowed into the sands (2) [outr] Hurry go round even though you may shatter Because it's a fleeting instant before you fall Without waiting for the right moment Spin Hurry merry-go-round Even if life pulls you under Let's meet in the spring again Let's meet in the spring Let's meet in the spring,,,
Hide (musician),Leather Face,[verse] With progressive thought attempt to access your interior Your mind in chaos as you access it daily Let's cast away shame and instead aim for success Come on Leather Face! [bridge] Please let's sell love Please at high risk but low return...shall we? [verse] Even if your physical body aches Cover up your porno soul! Brimming with jealousy you've got an icy demeanor Haven't you had enough Leather Face? [verse] So!! I'd say you've got pride like a cat whiskers        I'll snip it all off! So!! a Nopperabou terrified of mice        That's what you are...Hahaha,[chorus] Take off your LEATHER FACE My dear LEATHER FACE Come on Leather Face! Peel off your leather mask! [bridge] Too late now to play innocent So hunch your back all you want [verse] There's no redemption once your lies are exposed Trust commits murder suicide with love It's that leather face of yours that's cursed But it's too late now [chorus] So!! scrape up piece back together        Your shattered dreams So!! churn out all the rubbish arguments you want        You're but a fake Leather Face  Good bye LEATHER FACE My dear LEATHER FACE Bye bye bye LEATHER FACE Take off your LEATHER FACE  Take off your LEATHER FACE Good bye LEATHER FACE Take off your LEATHER FACE Take off your LEATHER,[intro] Please let's peel off even a corner Please of your leather mask,,
Hide (musician),Pink Cloud Assembly,,[chorus] A gentle rain embraces you Soon you will ascend into the sky The snow colored clouds take the pink color of cherry trees It takes you away under that endless sky In the cage that is called freedom,,,
Hide (musician),Pink Spider,,"[chorus] PINK SPIDER ""I wanna go there"" PINK SPIDER ""I wish I had wings..."" [verse] Ignoring the captured butterfly's desperate plea You glare at the sky ""I didn't hurt because I hated I didn't have wings And the sky was too high"" [verse ""You should use my wings SPIDER You don't know the pain of endless flight And maybe you'll realize one day That you were only flying in the palms of someone else And even dared to call that freedom.""  Couldn't fly with borrowed wings You fall straight down head first [chorus] PINK SPIDER ""It's no good"" PINK SPIDER ""But I can see the sky..."" PINK SPIDER ""It's a failure"" PINK SPIDER ""I wish I had wings..."" [verse] Beyond that barely visible sky Birds heading south ""Let's fly once again Cutting down these threads This time with one's own JET When that cloud passes...""  PINK SPIDER The sky is calling PINK SPIDER PINK SPIDER [outro] A pink spider flows across the sky....","[intro] You wrap yourself in needles and threads of lies A small world You thought it was everything You hurt anything that comes near You thought the sky was a square [bridge] ""this is it... this's all there is isn't it?"" You said That's a lie too  Wildly decorated your patterns look lonely The paradise bird unusually came over to talk  ""Steal that butterfly's wings and come over here"" ""Everything's to your desire on the other side""",,
Hide (musician),Rocket Dive,,[chorus] Speed freaks baby rocket dive Your off-kilter rocket A high-speed trip starts with a quick spark And so speed freaks baby rocket dive Even in silence the sun rises Say adios to those yesterdays filled with waiting [verse] For example somewhere along your journey Your engine goes idle Because of that it's all a waste right? But a situation made of nothing Can be turned into anything So you can go anywhere you want to [bridge] A towering rocket Let's blast off before it rusts Launch as many times as we want Ready? 3 2 1 go! [chorus] Speed freaks baby rocket dive I want to get on board before it rusts And when it flies it's the perfect rocket Come on space age baby rocket dive Bungee-dive in a place that can't be seen [bridge] A brand new star sparkles out into space Sail away [verse] No matter how many years we wait We'll be having lots of fun out in space Carry that missile in your heart and let's soar [chorus] Speed freaks baby rocket dive I want to fly to a place that can't be seen Your high-speed self starts quick a quick spark Come on speed freaks baby rocket dive Spread your wings and you can fly Say adios to those yesterdays filled with waiting [outro] A brand new star sparkles out into the world Sail away,[intro] Everyday's pretty much the same And the way it is I guess it's OK But for some reason you look up at the sky right? The perfect dreams of those boys and girls I laugh because I can see right through those feelings But it's nothing serious that's how it is [bridge] No matter how many years we wait Nothing will fall from the sky right? Carry that missile in your heart and let's go,,
Ian Curtis,A Means to an End,[verse] A legacy so far removed One day will be improved Eternal rights we left behind We were the better kind Two the same set free too ,[chorus] I always looked to you I always looked to you I always looked to you  [verse] We fought for good stood side by side Our friendship never died On stranger waves the lows and highs Our vision touched the sky Immortalists with points to prove  [chorus] I put my trust in you I put my trust in you I put my trust in you  [verse] A house somewhere on foreign soil Where ageless lovers call Is this your goal your final needs Where dogs and vultures eat Committed still I turn to go   [chorus] I put my trust in you I put my trust in you I put my trust in you I put my trust in you In you. In you. In you Put my trust in you in you,,,
Ian Curtis,Atrocity Exhibition,[verse] Asylums with doors open wide Where people had paid to see inside For entertainment they watch his body twist Behind his eyes he says 'I still exist.' ,[chorus] This is the way step inside This is the way step inside This is the way step inside This is the way step inside  [verse] In arenas he kills for a prize Wins a minute to add to his life But the sickness is drowned by cries for more Pray to God make it quick watch him fall  [chorus] This is the way step inside This is the way step inside This is the way step inside This is the way step inside This is the way this is the way This is the way this is the way This is the way step inside This is the way step inside This is the way step inside This is the way step inside   [verse] You'll see the horrors of a faraway place Meet the architects of law face to face See mass murder on a scale you've never seen And all the ones who try hard to succeed  [chorus] This is the way step inside This is the way step inside This is the way step inside This is the way step inside  [verse] And I picked on the whims of a thousand or more Still pursuing the path that's been buried for years All the dead wood from jungles and cities on fire Can't replace or relate can't release or repair Take my hand and I'll show you what was and will be,,,
Ian Curtis,Colony,[verse] A cry for help a hint of anesthesia The sound from broken homes We used to always meet here As he lays asleep she takes him in her arms Some things I have to do but I don't mean you harm  [verse] A worried parent's glance a kiss a last goodbye Hands him the bag she packed the tears she tries to hide A cruel wind that blows down to our lunacy And leaves him standing cold here in this colony  [verse] I can't see why all these confrontations I can't see why all these dislocations No family life this makes me feel uneasy Stood alone here in this colony In this colony in this colony in this colony in this colony  [outro] Dear God in his wisdom took you by the hand God in his wisdom made you understand God in his wisdom took you by the hand God in his wisdom made you understand God in his wisdom took you by the hand God in his wisdom made you understand God in his wisdom took you by the hand God in his wisdom made you understand In this colony in this colony in this colony in this colony,,,,
Ian Curtis,Decades,[verse] Here are the young men the weight on their shoulders Here are the young men well where have they been? We knocked on the doors of Hell's darker chamber Pushed to the limit we dragged ourselves in Watched from the wings as the scenes were replaying We saw ourselves now as we never had seen Portrayal of the trauma and degeneration The sorrows we suffered and never were free ,[chorus] Where have they been? Where have they been? Where have they been? Where have they been?  [verse] Weary inside now our heart's lost forever Can't replace the fear or the thrill of the chase Each ritual showed up the door for our wanderings Open then shut then slammed in our face  [chorus] Where have they been? Where have they been? Where have they been? Where have they been?,,,
Ian Curtis,Heart and Soul,[verse] Instincts that can still betray us A journey that leads to the sun Soulless and bent on destruction A struggle between right and wrong You take my place in the showdown I'll observe witha pitiful eye I'll humbly ask for forgiveness A request well beyond you and I ,[chorus] Heart and soul one will burn Heart and soul one will burn  [verse] An abyss that laughs at creation A circus complete with all fools Foundations that lasted the ages Then ripped apart at their roots Beyond all this good is the terror The grip of a mercenary hand When savagery turns all good reason There's no turning back no last stand  [chorus] Heart and soul one will burn Heart and soul one will burn   [verse] Existence well what does it matter? I exist on the best terms I can The past is now part of my future The present is well out of hand The present is well out of hand  [chorus] Heart and soul one will burn Heart and soul one will burn One will burn one will burn Heart and soul one will burn,,,
Ian Curtis,Isolation,[verse] In fear every day every evening He calls her aloud from above Carefully watched for a reason Painstaking devotion and love Surrendered to self preservation From others who care for themselves A blindness that touches perfection But hurts just like anything else ,[chorus] Isolation Isolation Isolation  [verse] Mother I tried please believe me I'm doing the best that I can I'm ashamed of the things I've been put through I'm ashamed of the person I am  [chorus] Isolation Isolation Isolation   [verse] But if you could just see the beauty These things I could never describe These pleasures a wayward distraction This is my one lucky prize  [chorus] Isolation Isolation Isolation Isolation Isolation,,,
Ian Curtis,Love Will Tear Us Apart,[verse] When routine bites hard And ambitions are low And resentment rides high But emotions won't grow And we're changing our ways taking different roads ,[chorus] Then love love will tear us apart again Love love will tear us apart again  [verse] Why is the bedroom so cold? You've turned away on your side Is my timing that flawed? Our respect runs so dry Yet there's still this appeal That we've kept through our lives  [chorus] But love love will tear us apart again Love love will tear us apart again  [verse] You cry out in your sleep All my failings exposed And there's a taste in my mouth As desperation takes hold Just that something so good Just can't function no more   [chorus] Then love love will tear us apart again Love love will tear us apart again Then love love will tear it apart again Love love will tear it apart again,,,
Ian Curtis,Passover,[verse] This is a crisis I knew had to come Destroying the balance I'd kept Doubting unsettling and turning around Wondering what will come next Is this the role that you wanted to live? I was foolish to ask for so much Without the protection and infancy's guard It all falls apart at first touch  [verse] Watching the reel as it comes to a close Brutally taking it's time People who change for no reason at all It's happening all of the time Can I go on with this train of events? Disturbing and purging my mind Back out of my duties when all's said and done I know that I'll lose every time  [verse] Moving along in our God given ways Safety is sat by the fire Sanctuary from these feverish smiles Left with a mark on the door Is this the gift that I wanted to give? Forgive and forget's what they teach Or pass through the deserts and wastelands once more And watch as they drop by the beach This is the crisis I knew had to come Destroying the balance I'd kept Turning around to the next set of lives Wondering what will come next,,,,
Ian Curtis,The Eternal,[verse] Procession moves on the shouting is over Praise to the glory of loved ones now gone Talking aloud as they sit round their tables Scattering flowers washed down by the rain Stood by the gate at the foot of the garden Watching them pass like clouds in the sky Try to cry out in the heat of the moment Possessed by a fury that burns from inside  [verse] Cry like a child though these years make me older With children my time is so wastefully spent A burden to keep though their inner communion Accept like a curse an unlucky deal Played by the gate at the foot of the garden My view stretches out from the fence to the wall No words could explain no actions determine Just watching the trees and the leaves as they fall,,,,
Ian Curtis,Twenty Four Hours,[verse] So this is permanence love-shattered pride What once was innocence turned on its side A cloud hangs over me marks every move Deep in the memory of what once was love  [verse] Oh how I realised how I wanted time Put into perspective tried so hard to find Just for one moment thought I'd found my way Destiny unfolded I watched it slip away  [verse] Excessive flash points beyond all reach Solitary demands for all I'd like to keep Let's take a ride out see what we can find A valueless collection of hopes and past desires  [verse] I never realised the lengths I'd have to go All the darkest corners of a sense I didn't know Just for one moment I heard somebody call Looked beyond the day in hand there's nothing there at all  [verse] Now that I've realised how it's all gone wrong Gotta find some therapy this treatment takes too long Deep in the heart of where sympathy held sway Gotta find my destiny before it gets too late,,,,
Jim Ellison,A Very Good Thing,[verse] Do you remember the time I remember the time Like a boyhood nursery rhyme Just a voice inside my head Trying to get out  Do you remember the way Well I remember the way Like a night turned into day Well I dressed you up And your mother threw you back down,[chorus] And when I feel I can't go on I turn the radio on It's a good thing It's a good thing It's a good good good Very good thing that you're gone [verse] Do you remember the voice Yeah I remember the voice And it gave me no choice It was several of them And I had to take one out  I remember the time Yeah I remember the time Like a high school nursery rhyme And I pushed you in And I pushed you down  [chorus] And when I feel I can't go on I turn the radio on It's a good thing It's a good thing (It's a very good) Good good good Very good thing that you're gone  And when I feel I can't go on I turn the radio on It's a good thing It's a good thing (It's a very good) Good good good Very good thing that you're gone  And when I feel I can't go on I turn the radio on It's a good thing It's a good thing It's good good good Very good thing that you're gone,,,
Jim Ellison,Kim the Waitress,[verse] Pursed lips and tender hips Turning in my head Writing poems in a corner booth That I'd die if she read Seeing her in but a silver cross Lying on her bed,[chorus] No one can save us From Kim The Waitress No one can save us From Kim The Waitress Nobody can save us From Kim The Waitress Always turns me on [verse] Sometimes she comes with coffee Leaning over pouring I'd like to gently pull her to me Kiss her with no warning Seeing her some sunny Sunday morning [chorus] No one can save us From Kim The Waitress No one can save us From Kim The Waitress Nobody can save us From Kim The Waitress Always turns me on [bridge] She doesn't come around anymore And that bothers me And that bothers me Yeah it bothers me [verse] Though I don't stand a ghost of a chance with her She's pretty (and that bothers me) So pretty (and that bothers me) And it bothers me [chorus] No one can save us From Kim The Waitress No one can save us From Kim The Waitress Nobody can save us From Kim The Waitress Always turns me down [outro] No one can save us No one can save us Nobody can save us,,,
Jim Ellison,She's Goin' Thru My Head,[verse] She's got a brand new car We're playin the radio way too loud Wants me to grow to be some kind of cult star There's too much time for that right now,[chorus] She's Goin' Thru My Head She's Goin' Thru My Head My Head My Head My Head My Head [verse] She's playin my very most favourite sweet record And her dad just loves my long brown hair He's buyin me a brand new leather jacket man! I dont remember what it was like to care [chorus] She's Goin' Thru My Head She's Goin' Thru My Head My Head My Head My Head My Head [bridge] He's got a brand new cadillac car Were playin his 8 track way too loud Wants me to grow up to be some kind of pop star Theres too much time for that shit now [chorus] She's Goin' Thru My Head She's Goin' Thru My Head My Head My Head My Head My Head,,,
Johnny J,Better Off,[verse] Now bitches want you to do for what you stuck fucking them to do But doesn't that make her a prostitute She wants me take her out and dine her a candle light But the next day the ho wants to fight About all the time that I'm spending with the homies To me I was better off when I was lonely Or should I say single free to mingle She started tripping the minute that I made her coochie tingle That's when everything change Now when ever I go out she wants a list of names Of people that I'm going to be with Huh but I told that ho don't come with me with that nonsense Now every time I open up my mouth I telling her a lie Me explaining don't even try Because when I get home I don't want a gang of hassle A man's home is suppose to be his castle But then she keeps on tripping Imma cut her loose let her go Cause I'm better off getting me a ho  [verse] Bitch I ain't got time for no ass silly games Let a nigga know when you wanna do your own thing It ain't shit to let a ho girl go Because a brother you can't choose your ain't no ho But way back in the day I remember pop's told me Never have a girl that have been with all your homie And shit a look because the girl will find you Where you least expect the ho is right behind you Words from the wise Because my pops had three wives So I see what he saw already through these eyes Should I stay single with a gang of bitches Or should I settle down and clown off my riches They say a good woman makes a man complete But nowadays they fucking every nigga that they meet So Imma stay alone for the fact that I know That I'm better off finding me a ho  [verse] My homies don't understand why I never trip When other motherfuckers try to hook up with my bitch The way I see it every take that she was never mine But another ho is a waste of my time I let a nigga rushing the captain strong Cause then I can see what the fuck is going on And if she gets busted there's no need to discuss it It's over with history see you later fuck it The bitch is out on the street Shit packed up and waiting on the concrete You fucked up You gotta go gotta go It's your fault that two went solo So don't try to speak save all your drama And when you get home tell it to your mama Cause Imma just kick it and take it slow I'm better off finding me a ho ,,[intro] You better off getting you a ho Cause she doesn't wanna know who you with or where you go She only has two questions Where's your skeets and do you have your protection ,,
Johnny J,Get Away From Me,[verse] While I was rippin' up shows You were lovin' another man and everybody else knows Doing it in public not being low key I didn't wanna believe it even though one of my homies told me so But i don't think so Because I'm letting you know I'm not letting you go I knew right then that my heart was stuck Should've known right then but I didn't know what was up Cause week after week I would send you skeets For you to go shopping and make payments on your jeep To let you know that you got a good thing A brother went out and bought your punkass a ring Everything was going cool or so it seems You had J sprung livin' in a dream I couldn't see it you lettin' him roll in my car Buying him clothes and treatin' him like a star Until the day the fool needed some kind of bail You pawned the ring to get the stupid sucker out of jail And when I asked you where its at You told me that your ass got jacked Then you introduced the man you said he was your cousin Took him on a trip while I was gone he was all up in your muffin But that ain't nothin' the last thing is the best He took off his jersey and had your name on his chest   [hook] Get away from me Get away from me babe Get away from Get away from Get away from me  [bridge] Your funky ass don't understand Girl I ain't ready I don't want to love no more Too much trouble dealing with your kind Pack your things and just walk out that door  [verse] Remember way back you told me you'd never say that I never really wanted to be involved with this way back Just love me and relieve me tickle me and tease me Say you'll never leave me do it nice and easy But um you never really seemed to care Or bother when I told you that I'd rather be your lover and ??? So flip and trip in retrospect I lost respect for your hookish ways So baby what's next? Temporary conflict how can it get better I still see the day when you tracked in our Jetta You couldn't hold on cause my grip was loose Change fallin' out my pocket like I'm pouring juice So that's how the story goes You wanna get with another buster cause he buys you clothes Just to get inside I had to chase and hogtie Well look at the fall guy I feel like a small fry Now you back cause you heard that I Got a record coming soon so you just came by to say hi (Nah baby it ain't even like that why you trippin') (Hell nah hold on) Because a brother like Johnny J and one of the peoples that wanna be down with this I feel like breaking your damn neck I'm serious So baby move on before you take my grip before I make the hit And show you no love and straight trip   [hook] Get away from me Get away from me babe Get away from Get away from Get away from me Get away from me Get away from me babe Get away from Get away from,,,,[hook] Get away from me Get away from me babe Get away from Get away from Get away from me 
Johnny J,I'm a Better Man,[verse] I was just chilling feeling kind of bored Went to get some drink so I crept to the store Sipping cranked up leaning in my truck I saw this young freak she was fingering for my nuts She was on head with a doobie baby bootie She want to cruise the beach but I rather take her to the movies Or straight to my house yeah I like that even better So kick back relax and take off the hot sweater Let a real go getter like me the one and only Come into your life and you can be my tenderoni She said cool but that sounded kind of phony Cause back in the day she used talk to my homie But I was on a mission wasn't nothing no relationship I only wanted to dig on the one night stand yo Smooth undercover and playing my cards right Telling her that I love her but you know that was all hype Kind of like dinner and the whole nine yards Got the socko and gen out the trunk of my car Pull her a drink a little strong but smooth 30 minutes later she was all in the mood Rubbing on my chest and it was getting kind of sweaty She started undressing I mean the lesson I was ready (And nigga all I wanna know is did you knock the boots?) You know what up G she was one hundred proof Wasn't taking no short so I have to come with it First I licked her up and down putting a tape of slow jam and I hit it A night she'll never forget I made it legit And now she won't switch (Why is that?) Cause I'm a better man   [hook] I'm a better man what can a nigga do To let you know that I just want you to know Let me come inside and show you how I feel when you love me  [verse] Check it roses are red and violets are blue Me and you we go together like two and two me fucking you I'm the J to the O to the H-N-Y J-love making love to you any kind of way I wanna rock but I don't want to tie the notch J is for the way of rock and I don't stop Till the next day we can sex play Telling me you're loving every minute and that you wanna stay Thinking to yourself (Damn what should I do?) About this other busta nigga that's in love with you But I don't give a fuck cause J is on the real I'm bringing off crop I'm giving her something she can feel She might stray away but not too far A nigga like me would give her more than a dick on hard That's me the menace to freak Yo I be tossing the freak and be up all energy Radio won't play it because its X-rated Title better name but ya still can't fade it Fucking is the game and drinking is my favorite sport So Temp-T get off the freakin passport Back to the way I like a certain ho I eat them up like tootsie roll And fuck them sore till the pussy close Doing damage to your backbone All night long like Keet said your sex got it going on I know your thinking to yourself it wasn't part of the plan But that's how it's done by a better man   [hook] I'm a better man what can a nigga do To let you know that I just want you to know Let me come inside and show you how I feel when you love me [outro] You know you want a better man You know you want a better man You know you want a better man You know you want a better man You know you want a better man,,[intro] You know you want a better man You know you want a better man You know you want a better man You know you want a better man ,,
Johnny J,Love's the Way,[verse] Don't you know you're the girl of my dreams? The girl love my dreams Cause I got a feeling deep in my heart That you want to be with me So let's get together And make my life better And know that you agree  [hook] Love's the way Love's the way Love's the way to live  [verse] I would do whatever it takes baby just to be your man I would climb the mountain swim the seas don't you understand That you're a very special lady And together forever we should be  [hook] Love's the way Love's the way Love's the way to live  [verse] Baby don't you know that I want you You know just one way So if you take my heart and say that I do You won't regret this day I just want to hold you lady Lemme runs my fingers through your hair Kiss me baby drive me crazy Think of all the good things we share Making lots of healthy babies And spreading them all over the world  [hook] Love's the way Love's the way Love's the way to live,,,,[hook] Love's the way Love's the way Love's the way to live Love's the way Love's the way Love's the way to live Love's the way Love's the way Love's the way to live 
Johnny J,Something She Can Feel,"[verse] Damn baby can dick ya down Can I lick ya down I mean to stick around I put the duties done And the deed was fun Don't try to call me ya uh your number one hun Cause I ain't gonna be sticking like static cling You got a little bit of this ding-a-ling Now you wanna be my steady but baby I ain't ready I suggest you get the fuck out of here like fucking confetti-Spaghetti- yo you're kind stringy you tryna kick it with me baby but I'm thinkin yo you're kinda clingy And you need to stop Bitches don't understand that I like to drink a little gin and juice on the rocks And don't stop the party y'all It won't stop it don't stop on callin' ya So come on and jet on something I call the real I'm giving her something she can feel  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something   [verse] I have a reminiscing on this dick and its lovin and huggin and kissin she don't undserstand what shes been missin so check it I know she wants to get back with the brotha But I ain't her type cause I'm a mix of a latin lover In other words I'm mixed with black But I have to take my pants off for you to see that Cause' I got inches For all you winches Make sure that you clean because' I don't like foul stenches I know it seems kinda crazy But I'm a real motherfucker and ya'll can't fade me So check it I like to kick the real I like making the bitches call me the Man Of Steel Cause I can rip them guts apart A nigga get busy when he gets in the dark  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something   [verse] Harder goes there it's my dick Slippin' down your throat baby Suck on it quick You try to tell me you were gonna fight it I try to do it again and ya said ""Stop I'mma bite it"" Now I told you to keep on going so what's up You said that I was crazy cause' you didn't gobble nuts So I told you one time Don't even try to front Cause I gotta hundred dollar bill that says that you want To-do-it Then she did it Yea she kinda hit it Yo the hoe got with it Skeet-Skeet-Skeet goes my shit to the ceiling Like toyota baby oh what a fucking feeling I know you trippin' off the facts that I just kicked But now I gotta let you know it's over with So next time you think about me and how i feel Remember I'm giving her Something She Can Feel  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel",,,,
